"","macs2","Freq"
"1","2",1
"2","3",2
"3","4",5
"4","7",73
"5","8",1
"6","10",1
"7","11",1
"8","23",5
"9","24",19
"10","25",3
"11","26",1
"12","27",2
"13","30",1
"14","32",3
"15","33",1
"16","34",1
"17","35",11
"18","37",4
"19","39",2
"20","40",1
"21","41",1
"22","42",1
"23","43",2
"24","44",10
"25","45",2
"26","46",4
"27","47",2
"28","56",1
"29","59",18
"30","60",69
"31","66",3
"32","68",1
"33","89",7
"34","90",10
"35","92",1
"36","95",1
"37","96",1
"38","98",1
"39","104",2
"40","106",1
"41","107",1
"42","111",1
"43","115",1
"44","117",1
"45","118",2
"46","119",1
"47","121",1
"48","122",8
"49","124",24
"50","125",1
"51","126",1
"52","128",4
"53","131",1
"54","135",1
"55","136",1
"56","138",1
"57","144",11
"58","145",1
"59","149",1
"60","150",1
"61","153",1
"62","155",1
"63","157",4
"64","158",2
"65","160",4
"66","162",2
"67","164",2
"68","165",1
"69","166",1
"70","168",2
"71","216",1
"72","218",8
"73","219",1
"74","225",1
"75","227",8
"76","231",12
"77","238",1
"78","255",1
"79","258",3
"80","259",3
"81","260",2
"82","261",2
"83","262",1
"84","264",1
"85","266",1
"86","267",1
"87","278",1
"88","280",39
"89","281",3
"90","283",1
"91","285",1
"92","286",2
"93","287",4
"94","288",1
"95","289",1
"96","290",7
"97","291",1
"98","294",1
"99","295",4
"100","298",1
"101","303",1
"102","304",2
"103","305",2
"104","306",1
"105","309",1
"106","323",1
"107","325",1
"108","326",1
"109","327",3
"110","328",2
"111","330",2
"112","337",1
"113","339",5
"114","340",2
"115","341",3
"116","342",2
"117","343",41
"118","344",5
"119","346",1
"120","347",1
"121","350",1
"122","351",1
"123","353",7
"124","356",4
"125","358",3
"126","360",2
"127","361",1
"128","362",1
"129","363",1
"130","364",2
"131","365",2
"132","367",1
"133","373",1
"134","375",1
"135","379",1
"136","381",2
"137","382",5
"138","383",1
"139","384",1
"140","385",2
"141","390",1
"142","398",5
"143","404",1
"144","405",1
"145","407",1
"146","412",1
"147","418",14
"148","419",12
"149","420",56
"150","421",5
"151","423",1
"152","424",1
"153","425",2
"154","427",2
"155","428",32
"156","429",16
"157","430",17
"158","431",55
"159","432",1
"160","433",38
"161","434",2
"162","440",3
"163","441",2
"164","442",3
"165","443",4
"166","444",1
"167","449",1
"168","450",1
"169","451",1
"170","452",2
"171","453",1
"172","454",14
"173","455",32
"174","456",10
"175","457",1
"176","458",2
"177","459",4
"178","460",2
"179","461",2
"180","462",1
"181","463",2
"182","464",1
"183","465",3
"184","466",4
"185","467",2
"186","468",4
"187","471",7
"188","473",1
"189","494",1
"190","495",1
"191","503",1
"192","505",1
"193","509",1
"194","511",6
"195","512",1
"196","513",2
"197","514",1
"198","516",1
"199","518",1
"200","520",1
"201","522",3
"202","523",2
"203","533",1
"204","536",1
"205","539",1
"206","546",1
"207","552",1
"208","558",1
"209","576",1
"210","596",1
"211","623",2
"212","625",1
"213","627",5
"214","628",7
"215","630",2
"216","632",32
"217","633",12
"218","634",32
"219","635",2
"220","636",7
"221","637",1
"222","638",6
"223","639",1
"224","640",11
"225","641",2
"226","642",1
"227","643",1
"228","644",1
"229","645",1
"230","646",1
"231","648",2
"232","651",1
"233","657",3
"234","658",1
"235","662",1
"236","665",4
"237","667",3
"238","668",3
"239","669",3
"240","671",2
"241","681",1
"242","683",1
"243","686",2
"244","689",1
"245","691",7
"246","692",1
"247","693",1
"248","694",2
"249","695",1
"250","698",1
"251","701",13
"252","702",4
"253","705",1
"254","706",2
"255","712",2
"256","713",1
"257","714",1
"258","715",1
"259","719",1
"260","720",1
"261","721",8
"262","722",5
"263","723",11
"264","724",1
"265","725",12
"266","744",4
"267","762",1
"268","791",3
"269","792",3
"270","793",3
"271","794",3
"272","797",2
"273","799",4
"274","802",1
"275","803",1
"276","806",2
"277","808",4
"278","809",3
"279","813",1
"280","815",5
"281","816",1
"282","817",2
"283","818",4
"284","819",2
"285","821",2
"286","822",22
"287","823",5
"288","824",2
"289","825",1
"290","827",2
"291","830",38
"292","831",1
"293","832",6
"294","836",1
"295","837",6
"296","838",2
"297","841",5
"298","842",1
"299","846",2
"300","873",1
"301","876",1
"302","883",1
"303","903",1
"304","935",1
"305","936",5
"306","940",1
"307","945",1
"308","962",1
"309","973",1
"310","976",1
"311","978",3
"312","979",3
"313","980",3
"314","985",2
"315","986",2
"316","987",4
"317","988",1
"318","994",1
"319","995",1
"320","998",1
"321","1000",3
"322","1006",1
"323","1007",1
"324","1008",1
"325","1009",2
"326","1010",1
"327","1011",2
"328","1012",1
"329","1013",3
"330","1014",1
"331","1016",1
"332","1017",1
"333","1018",2
"334","1019",1
"335","1020",1
"336","1021",1
"337","1024",3
"338","1025",3
"339","1026",1
"340","1027",2
"341","1028",11
"342","1039",1
"343","1063",2
"344","1070",1
"345","1072",1
"346","1080",4
"347","1081",1
"348","1082",2
"349","1086",2
"350","1088",2
"351","1092",10
"352","1093",4
"353","1094",1
"354","1096",1
"355","1097",1
"356","1098",1
"357","1099",3
"358","1101",6
"359","1102",14
"360","1103",5
"361","1104",12
"362","1105",2
"363","1106",2
"364","1107",2
"365","1110",2
"366","1115",1
"367","1116",3
"368","1119",3
"369","1120",2
"370","1123",3
"371","1125",1
"372","1137",5
"373","1140",2
"374","1147",1
"375","1149",1
"376","1152",1
"377","1153",1
"378","1167",1
"379","1173",8
"380","1177",1
"381","1182",1
"382","1195",1
"383","1204",1
"384","1206",1
"385","1221",1
"386","1223",6
"387","1229",1
"388","1231",3
"389","1233",2
"390","1244",1
"391","1246",2
"392","1247",1
"393","1249",2
"394","1250",3
"395","1252",7
"396","1253",1
"397","1254",1
"398","1258",1
"399","1261",2
"400","1262",8
"401","1263",5
"402","1264",3
